cliente_id;nombre;porcentaje
12862414;Urbanización Ciudad Jardín;100.0
12869198;Calima;83.99
12870270;Unidad Residencial Santiago de Cali;100.0
12870958;La Ciudadela Confandi;99.96
12872498;La Independencia;100.0
12874028;El Peñón;64.6
12875018;Unicentro Cali;69.34
12878523;Los Guaduales;78.47
12880397;Sucre;100.0
12882754;Ciudad Capri;85.46
12884172;Nueva Floresta del Ict;96.14
12885894;El Sena;100.0
12886122;Sucre;100.0
12890241;San Vicente;84.4
12891225;Urbanización San Juaquín;63.27
12892065;Unidad Residencial Santiago de Cali;60.07
12895524;El Troncal;100.0
12896806;Área Libre-Parque del Amor;55.16
12902019;El Troncal;100.0
12912597;Chipichape;100.0
12912764;Bolivariano;62.68
12922920;Camino Real-Joaquín Borrero;100.0
12925596;San Fernando Nuevo;61.34
12942356;El Calvario;100.0
12945590;El Cedro;100.0
12953121;Chapinero;100.0
12957684;Los Parques;100.0
12959596;Prados del Norte;84.33
12966004;Mayapan-Las Vegas;83.38
12969521;Unicentro Cali;85.54
12969734;Los Sauces;100.0
12973152;Meléndez;98.91
12974238;Alto de los Chorros;100.0
12981814;Unicentro Cali;52.35
12986038;El Cedro;81.17
12989596;La Merced;51.72
12990040;Chapinero;100.0
12993398;Colseguros Andes;73.84
12994669;San Vicente;100.0
12996535;Junin;100.0
13002741;San Nicolás;99.99
13003315;Julio Rincón;96.95
13005631;Lili;68.37
13019405;El Cedro;100.0
13024868;Lili;100.0
13027991;Primero de Mayo;88.63
13041832;Unidad Residencial Santiago de Cali;76.16
13042675;Guayaquil;86.59
13061900;Santa Mónica Residencial;92.58
13064085;Chipichape;100.0
13066717;Urbanización Ciudad Jardín;100.0
13073271;El Peñón;90.18
13073752;San Vicente;65.15
13078129;San Vicente;58.45
13079454;Santander;100.0
13089184;La Merced;100.0
13091233;Unicentro Cali;100.0
13105701;El Cedro;85.76
13107723;El Calvario;99.79
13107829;Chipichape;74.49
13118520;Sucre;100.0
13120007;Urbanización Militar;100.0
13122412;Nueva Floresta del Ict;80.04
13123924;El Sena;63.45
13124629;Santa Mónica Residencial;98.37
13130274;Urbanización San Juaquín;100.0
13140791;Urbanización San Juaquín;99.41
13141143;San Vicente;100.0
13143676;San Vicente;100.0
